name,iso3,year,percent,residence,indicator,pop,region,income_id
Afghanistan,AFG,2000,NA,national,Safely managed,20779957.03125,South Asia,LIC
Afghanistan,AFG,2010,NA,national,Safely managed,29185511.71875,South Asia,LIC
Afghanistan,AFG,2020,NA,national,Safely managed,38928339.84375,South Asia,LIC
Albania,ALB,2000,40.23741598959447,national,Safely managed,3129246.09375,Europe & Central Asia,UMC
Albania,ALB,2010,44.29658364857308,national,Safely managed,2948029.052734375,Europe & Central Asia,UMC
Albania,ALB,2020,47.69108212418293,national,Safely managed,2877800.048828125,Europe & Central Asia,UMC
Algeria,DZA,2000,21.51471989368383,national,Safely managed,31042238.28125,Middle East & North Africa,LMC
Algeria,DZA,2010,19.84678822150222,national,Safely managed,35977449.21875,Middle East & North Africa,LMC
Algeria,DZA,2020,17.61258970077127,national,Safely managed,43851042.96875,Middle East & North Africa,LMC
American Samoa,ASM,2000,NA,national,Safely managed,57816.00189208984,East Asia & Pacific,UMC
American Samoa,ASM,2010,NA,national,Safely managed,56083.99963378906,East Asia & Pacific,UMC
American Samoa,ASM,2020,NA,national,Safely managed,55196.99859619141,East Asia & Pacific,UMC
Andorra,AND,2000,14.60403561900707,national,Safely managed,65389.99938964844,Europe & Central Asia,HIC
Andorra,AND,2010,86.45028443831089,national,Safely managed,84454.0023803711,Europe & Central Asia,HIC
Andorra,AND,2020,100.0000037028706,national,Safely managed,77264.99938964844,Europe & Central Asia,HIC
Angola,AGO,2000,NA,national,Safely managed,16395476.5625,Sub-Saharan Africa,LMC
Angola,AGO,2010,NA,national,Safely managed,23356246.09375,Sub-Saharan Africa,LMC
Angola,AGO,2020,NA,national,Safely managed,32866269.53125,Sub-Saharan Africa,LMC
Anguilla,AIA,2000,NA,national,Safely managed,11246.99974060059,NA,NA
Anguilla,AIA,2010,NA,national,Safely managed,13435.99987030029,NA,NA
Anguilla,AIA,2020,NA,national,Safely managed,15001.9998550415,NA,NA
Antigua and Barbuda,ATG,2000,NA,national,Safely managed,76007.00378417969,Latin America & Caribbean,HIC
Antigua and Barbuda,ATG,2010,NA,national,Safely managed,88029.998779296875,Latin America & Caribbean,HIC
Antigua and Barbuda,ATG,2020,NA,national,Safely managed,97928.0014038086,Latin America & Caribbean,HIC
Argentina,ARG,2000,47.84462111816595,national,Safely managed,36870796.875,Latin America & Caribbean,UMC
Argentina,ARG,2010,49.97256188675441,national,Safely managed,40895750,Latin America & Caribbean,UMC
Argentina,ARG,2020,NA,national,Safely managed,45195777.34375,Latin America & Caribbean,UMC
Armenia,ARM,2000,46.26395804428453,national,Safely managed,3069596.923828125,Europe & Central Asia,UMC
Armenia,ARM,2010,53.90871358105002,national,Safely managed,2877313.96484375,Europe & Central Asia,UMC
Armenia,ARM,2020,69.32908129380998,national,Safely managed,2963233.88671875,Europe & Central Asia,UMC
Aruba,ABW,2000,NA,national,Safely managed,90865.997314453125,Latin America & Caribbean,HIC
Aruba,ABW,2010,NA,national,Safely managed,101665.0009155273,Latin America & Caribbean,HIC
Aruba,ABW,2020,NA,national,Safely managed,106765.998840332,Latin America & Caribbean,HIC
Australia,AUS,2000,58.78889398917533,national,Safely managed,18991433.59375,East Asia & Pacific,HIC
Australia,AUS,2010,64.59036914758447,national,Safely managed,22154687.5,East Asia & Pacific,HIC
Australia,AUS,2020,74.25949441159996,national,Safely managed,25499880.859375,East Asia & Pacific,HIC
Austria,AUT,2000,99.68162202086492,national,Safely managed,8069275.87890625,Europe & Central Asia,HIC
Austria,AUT,2010,99.6449620996691,national,Safely managed,8409945.3125,Europe & Central Asia,HIC
Austria,AUT,2020,99.64252490894502,national,Safely managed,9006400.390625,Europe & Central Asia,HIC
Azerbaijan,AZE,2000,18.66676954201478,national,Safely managed,8122743.1640625,Europe & Central Asia,UMC
Azerbaijan,AZE,2010,24.6080592467381,national,Safely managed,9032464.84375,Europe & Central Asia,UMC
Azerbaijan,AZE,2020,NA,national,Safely managed,10139174.8046875,Europe & Central Asia,UMC
Bahamas,BHS,2000,NA,national,Safely managed,298045.0134277344,Latin America & Caribbean,HIC
Bahamas,BHS,2010,NA,national,Safely managed,354936.0046386719,Latin America & Caribbean,HIC
Bahamas,BHS,2020,NA,national,Safely managed,393247.9858398438,Latin America & Caribbean,HIC
Bahrain,BHR,2000,68.17329222801048,national,Safely managed,664609.9853515625,Middle East & North Africa,HIC
Bahrain,BHR,2010,80.31126812921606,national,Safely managed,1240864.013671875,Middle East & North Africa,HIC
Bahrain,BHR,2020,91.2338181637325,national,Safely managed,1701583.0078125,Middle East & North Africa,HIC
Bangladesh,BGD,2000,17.66102355118061,national,Safely managed,127657859.375,South Asia,LMC
Bangladesh,BGD,2010,28.42291983396473,national,Safely managed,147575437.5,South Asia,LMC
Bangladesh,BGD,2020,38.66941873764463,national,Safely managed,164689390.625,South Asia,LMC
Barbados,BRB,2000,NA,national,Safely managed,271510.986328125,Latin America & Caribbean,HIC
Barbados,BRB,2010,NA,national,Safely managed,282131.0119628906,Latin America & Caribbean,HIC
Barbados,BRB,2020,NA,national,Safely managed,287371.0021972656,Latin America & Caribbean,HIC
Belarus,BLR,2000,84.14757408730537,national,Safely managed,9871634.765625,Europe & Central Asia,UMC
Belarus,BLR,2010,79.73070574416752,national,Safely managed,9420576.171875,Europe & Central Asia,UMC
Belarus,BLR,2020,73.89504617756346,national,Safely managed,9449321.2890625,Europe & Central Asia,UMC
Belgium,BEL,2000,73.8443161029507,national,Safely managed,10282045.8984375,Europe & Central Asia,HIC
Belgium,BEL,2010,80.01221709424708,national,Safely managed,10938735.3515625,Europe & Central Asia,HIC
Belgium,BEL,2020,88.82071007876445,national,Safely managed,11589616.2109375,Europe & Central Asia,HIC
Belize,BLZ,2000,NA,national,Safely managed,247309.9975585938,Latin America & Caribbean,UMC
Belize,BLZ,2010,NA,national,Safely managed,322464.9963378906,Latin America & Caribbean,UMC
Belize,BLZ,2020,NA,national,Safely managed,397621.0021972656,Latin America & Caribbean,UMC
Benin,BEN,2000,NA,national,Safely managed,6865945.80078125,Sub-Saharan Africa,LMC
Benin,BEN,2010,NA,national,Safely managed,9199253.90625,Sub-Saharan Africa,LMC
Benin,BEN,2020,NA,national,Safely managed,12123198.2421875,Sub-Saharan Africa,LMC
Bermuda,BMU,2000,NA,national,Safely managed,65016.998291015625,North America,HIC
Bermuda,BMU,2010,NA,national,Safely managed,65388.00048828125,North America,HIC
Bermuda,BMU,2020,NA,national,Safely managed,62272.99880981445,North America,HIC
Bhutan,BTN,2000,62.1264611101255,national,Safely managed,591013.97705078125,South Asia,LMC
Bhutan,BTN,2010,64.55864345824392,national,Safely managed,685502.01416015625,South Asia,LMC
Bhutan,BTN,2020,65.21665840360455,national,Safely managed,771611.99951171875,South Asia,LMC
Bolivia (Plurinational State of),BOL,2000,27.9874822925933,national,Safely managed,8418269.53125,Latin America & Caribbean,LMC
Bolivia (Plurinational State of),BOL,2010,38.69755070354619,national,Safely managed,10048596.6796875,Latin America & Caribbean,LMC
Bolivia (Plurinational State of),BOL,2020,52.92221397689464,national,Safely managed,11673029.296875,Latin America & Caribbean,LMC
Bosnia and Herzegovina,BIH,2000,16.94551357261767,national,Safely managed,3751176.025390625,Europe & Central Asia,UMC
Bosnia and Herzegovina,BIH,2010,24.79573784359664,national,Safely managed,3705478.02734375,Europe & Central Asia,UMC
Bosnia and Herzegovina,BIH,2020,NA,national,Safely managed,3280814.94140625,Europe & Central Asia,UMC
Botswana,BWA,2000,NA,national,Safely managed,1643333.0078125,Sub-Saharan Africa,UMC
Botswana,BWA,2010,NA,national,Safely managed,1987105.95703125,Sub-Saharan Africa,UMC
Botswana,BWA,2020,NA,national,Safely managed,2351625,Sub-Saharan Africa,UMC
Brazil,BRA,2000,35.74204341274388,national,Safely managed,174790343.75,Latin America & Caribbean,UMC
Brazil,BRA,2010,39.85950933685704,national,Safely managed,195713640.625,Latin America & Caribbean,UMC
Brazil,BRA,2020,48.70631499755618,national,Safely managed,212559406.25,Latin America & Caribbean,UMC
British Virgin Islands,VGB,2000,NA,national,Safely managed,20312.9997253418,Latin America & Caribbean,HIC
British Virgin Islands,VGB,2010,NA,national,Safely managed,27795.99952697754,Latin America & Caribbean,HIC
British Virgin Islands,VGB,2020,NA,national,Safely managed,30236.99951171875,Latin America & Caribbean,HIC
